gene,normal_mean,tumor_mean,log2_fc,p_value,status
BRCA1,5.8,8.9,0.62,0.002,Upregulated
BRCA2,6.1,7.8,0.35,0.011,Upregulated
TP53,4.9,7.2,0.56,0.004,Upregulated
ERBB2,3.1,9.8,1.66,0.0001,Upregulated
ESR1,8.7,6.2,-0.49,0.008,Downregulated
PGR,7.9,5.4,-0.55,0.006,Downregulated
MKI67,2.8,8.7,1.64,0.0003,Upregulated
MYC,5.2,8.1,0.64,0.001,Upregulated
PTEN,7.1,5.2,-0.45,0.012,Downregulated
CDH1,8.0,6.5,-0.30,0.021,Downregulated
GATA3,7.4,8.3,0.17,0.042,Stable
FOXA1,6.8,7.1,0.06,0.087,Stable
KRT5,2.9,6.8,1.23,0.0007,Upregulated
KRT14,2.4,6.1,1.35,0.0005,Upregulated
EGFR,3.7,7.5,1.02,0.0012,Upregulated
BCL2,7.6,6.8,-0.16,0.055,Stable
CCND1,4.5,7.4,0.72,0.0021,Upregulated
AKT1,5.8,7.0,0.27,0.018,Upregulated
PIK3CA,6.0,7.6,0.34,0.013,Upregulated
MAP3K1,5.4,6.2,0.20,0.049,Stable
